,Data
0,President Donald J. Trump Announces Intent to Nominate the Following Individual to a Key Administration Post
1,President Donald J. Trump Announces Judicial Nominee
2,"Proclamation on Women’s Equality Day, 2020"
3,Executive Order on Targeting Opportunity Zones and Other Distressed Communities for Federal Site Locations
4,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
5,Proclamation on 100th Anniversary of the Ratification of the Nineteenth Amendment
6,Order Regarding the Acquisition of Musical.ly by ByteDance Ltd
7,"Proclamation on National Employer Support Of The Guard And Reserve Week, 2020"
8,One Nomination Sent to the Senate
9,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
10,President Donald J. Trump Announces Judicial Nominees
11,One Nomination Sent to the Senate
12,Memorandum on Authorizing the Other Needs Assistance Program for Major Disaster Declarations Related to Coronavirus Disease 2019
13,Memorandum on Deferring Payroll Tax Obligations in Light of the Ongoing COVID-19 Disaster
14,Executive Order on Fighting the Spread of COVID-19 by Providing Assistance to Renters and Homeowners
15,Memorandum on Continued Student Loan Payment Relief During the COVID-19 Pandemic
16,Memorandum on the Extension of the Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery (Connecticut)
17,Memorandum on the Extension of the Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery (California)
18,Memorandum on the Extension of the Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery (Arizona)
19,Executive Order on Addressing the Threat Posed by WeChat
20,Executive Order on Addressing the Threat Posed by TikTok
21,Proclamation on Adjusting Imports of Aluminum Into the United States
22,"Executive Order on Ensuring Essential Medicines, Medical Countermeasures, and Critical Inputs Are Made in the United States"
23,Memorandum on the Extension of the Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery (Florida)
24,Memorandum on the Extension of the Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery
25,Memorandum on the Extension of the Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery (Texas)
26,Executive Order on Improving Rural Health and Telehealth Access
27,Two Withdrawals Sent to the Senate
28,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
29,Executive Order on Aligning Federal Contracting and Hiring Practices With the Interests of American Workers
30,Presidential Permit
31,Presidential Permit
32,Presidential Permit
33,Presidential Permit
34,Eight Nominations Sent to the Senate
35,President Donald J. Trump Announces Intent to Nominate and Appoint the Following Individuals to Key Administration Posts
36,"Proclamation on National Korean War Veterans Armistice Day, 2020"
37,"Proclamation on the Anniversary of the Americans with Disabilities Act, 2020"
38,Executive Order on Lowering Prices for Patients by Eliminating Kickbacks to Middlemen
39,Executive Order on Increasing Drug Importation to Lower Prices for American Patients
40,Executive Order on Access to Affordable Life-saving Medications
41,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts
42,President Donald J. Trump Announces Intent to Nominate Individual to a Key Administration Post
43,Seven Nominations Sent to the Senate
44,Memorandum on Excluding Illegal Aliens From the Apportionment Base Following the 2020 Census
45,President Donald J. Trump Announces Intent to Nominate Individual to Key Administration Post
46,Proclamation on the Death of John Lewis
47,"Proclamation on Captive Nations Week, 2020"
48,Presidential Determination on the Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia
49,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
50,The President’s Executive Order on Hong Kong Normalization
51,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts
52,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts
53,Executive Order on the White House Hispanic Prosperity Initiative
54,Memorandum on the BUILD Act
55,Executive Order on Building and Rebuilding Monuments to American Heroes
56,Two Nominations Sent to the Senate
